Food_Entity_Name,Food_Entity_Number,Address,City,State,ZIP,Food_Entity_Type,Date_Inspected,Inspection_Summary,Address_Full,latitude,longitude
HARVEY'S SUPERMARKET #1712,37003,1305 ARIANA ST,LAKELAND,FL,33803,Supermarket,42893,Met Inspection Requirements,1305 ARIANA ST LAKELAND FL 33803,28.0269651,-81.975706
PUBLIX # 0836,278082,1395 6TH ST NW,WINTER HAVEN,FL,33881,Supermarket,42892,Met Inspection Requirements,1395 6TH ST NW WINTER HAVEN FL 33881,28.0348838,-81.7344348
EL RANCHO MEXICANO,303294,4085 STATE ROAD 60 W,MULBERRY,FL,33860,Supermarket,42888,Met Inspection Requirements,4085 STATE ROAD 60 W MULBERRY FL 33860,27.9135797,-82.018761
WALMART #779 (MAIN),34655,3501 S FLORIDA AVE,LAKELAND,FL,33803,Supermarket,42878,Met Inspection Requirements,3501 S FLORIDA AVE LAKELAND FL 33803,28.0007878,-81.9594731
WALMART #1245 (MAIN),264754,5800 US HIGHWAY 98 N,LAKELAND,FL,33809,Supermarket,42878,Met Inspection Requirements,5800 US HIGHWAY 98 N LAKELAND FL 33809,28.1194921,-81.9770751
WALMART #5035 (MAIN),287729,6745 N CHURCH AVE,MULBERRY,FL,33860,Supermarket,42865,Met Inspection Requirements,6745 N CHURCH AVE MULBERRY FL 33860,27.9334304,-81.9703011
PUBLIX # 0879,285386,2424 SAND MINE RD,DAVENPORT,FL,33897,Supermarket,42828,*,2424 SAND MINE RD DAVENPORT FL 33897,28.3111052,-81.6698785
TARGET # 2366,319985,5000 GRANDVIEW PKWY,DAVENPORT,FL,33837,Supermarket,42824,*,5000 GRANDVIEW PKWY DAVENPORT FL 33837,28.2334183,-81.6442867
WALMART #3347 (MAIN),305218,7450 CYPRESS GARDENS BLVD,WINTER HAVEN,FL,33884,Supermarket,42815,*,7450 CYPRESS GARDENS BLVD WINTER HAVEN FL 33884,27.9768941,-81.649205
SAVE A LOT # 788/6964,354075,4985 US 98 NORTH,LAKELAND,FL,33809,Supermarket,42814,*,4985 US 98 NORTH LAKELAND FL 33809,28.1050762,-81.9736195
ALDI # 0031,324109,4745 US HIGHWAY 98 N,LAKELAND,FL,33809,Supermarket,42802,*,4745 US HIGHWAY 98 N LAKELAND FL 33809,28.1032902,-81.97273
WALMART #859 (MAIN),259332,2000 STATE ROAD 60 E,LAKE WALES,FL,33898,Supermarket,42796,*,2000 STATE ROAD 60 E LAKE WALES FL 33898,27.8919436,-81.553132
PUBLIX # 1076,289455,617 US HIGHWAY 17 92 W,HAINES CITY,FL,33844,Supermarket,42794,*,617 US HIGHWAY 17 92 W HAINES CITY FL 33844,28.105319,-81.63855
WALMART #725 (MAIN),259248,36205 HWY 27,HAINES CITY,FL,33844,Supermarket,42788,*,36205 HWY 27 HAINES CITY FL 33844,28.1260433,-81.636715
SAM'S CLUB # 6441,63898,4600 US HIGHWAY 98 N,LAKELAND,FL,33809,Supermarket,42783,*,4600 US HIGHWAY 98 N LAKELAND FL 33809,28.1013832,-81.9768424
PUBLIX # 0392,53961,5375 N SOCRUM LOOP RD,LAKELAND,FL,33809,Supermarket,42780,*,5375 N SOCRUM LOOP RD LAKELAND FL 33809,28.111957,-81.9450236
PUBLIX # 0097,288565,23965 HWY 27,LAKE WALES,FL,33859,Supermarket,42773,*,23965 HWY 27 LAKE WALES FL 33859,27.9586207,-81.6208756
PUBLIX # 1204,323541,884 CYPRESS GARDENS BLVD,WINTER HAVEN,FL,33880,Supermarket,42773,*,884 CYPRESS GARDENS BLVD WINTER HAVEN FL 33880,28.0027192,-81.7160453
WALMART #968 (MAIN),37007,355 CYPRESS GARDENS BLVD,WINTER HAVEN,FL,33880,Supermarket,42767,*,355 CYPRESS GARDENS BLVD WINTER HAVEN FL 33880,28.0062978,-81.7225238
PUBLIX # 0702,262225,2300 GRIFFIN RD,LAKELAND,FL,33810,Supermarket,42759,*,2300 GRIFFIN RD LAKELAND FL 33810,28.0792575,-81.9922549
WINN DIXIE # 0713,37100,28047 HWY 27,DUNDEE,FL,33838,Supermarket,42746,*,28047 HWY 27 DUNDEE FL 33838,28.0162926,-81.6300811
WALMART #580 (MAIN),33118,1050 E VAN FLEET DR,BARTOW,FL,33830,Supermarket,42716,*,1050 E VAN FLEET DR BARTOW FL 33830,27.9070579,-81.8334303
PUBLIX # 0356,7286,4730 S FLORIDA AVE,LAKELAND,FL,33813,Supermarket,42710,*,4730 S FLORIDA AVE LAKELAND FL 33813,27.9782999,-81.955914
SAVE-A-LOT # 0173/5591,31529,1687 E HINSON AVE,HAINES CITY,FL,33844,Supermarket,42709,*,1687 E HINSON AVE HAINES CITY FL 33844,28.1053408,-81.6186426
PUBLIX # 0425,59608,1090 SPIRIT LAKE RD,WINTER HAVEN,FL,33880,Supermarket,42703,*,1090 SPIRIT LAKE RD WINTER HAVEN FL 33880,28.0057775,-81.7769297
EL ZOCALO SUPERMARKET,335995,452 US HIGHWAY 17 92 N,HAINES CITY,FL,33844,Supermarket,42702,*,452 US HIGHWAY 17 92 N HAINES CITY FL 33844,28.1123492,-81.6183609
WINN DIXIE # 0664,259784,6600 N SOCRUM LOOP RD,LAKELAND,FL,33809,Supermarket,42692,*,6600 N SOCRUM LOOP RD LAKELAND FL 33809,28.1275395,-81.9482076
PUBLIX # 1399,346993,255 E VAN FLEET DR,BARTOW,FL,33830,Supermarket,42690,*,255 E VAN FLEET DR BARTOW FL 33830,27.9024703,-81.841754
PUBLIX # 0791,271985,2040 SHEPHERD RD,MULBERRY,FL,33860,Supermarket,42675,Pass*,2040 SHEPHERD RD MULBERRY FL 33860,27.9367333,-81.9882806
WALMART #5214,380887,2855 N OLD LAKE WILSON ROAD,KISSIMMEE,FL,34747,Supermarket,43073,Met Inspection Requirements,2855 N OLD LAKE WILSON ROAD KISSIMMEE FL 34747,28.3312169,-81.5883965
PUBLIX #1607,380040,3221 VINELAND RD,KISSIMMEE,FL,34746,Supermarket,43006,Met Inspection Requirements,3221 VINELAND RD KISSIMMEE FL 34746,28.3422003,-81.4833103
BRAVO,316779,4651 OLD PLEASANT HILL RD,KISSIMMEE,FL,34759,Supermarket,42971,Met Inspection Requirements,4651 OLD PLEASANT HILL RD KISSIMMEE FL 34759,28.146455,-81.4424997
TROPICAL MEAT AND PRODUCE,355113,519 E VINE ST,KISSIMMEE,FL,34744,Supermarket,42969,Met Inspection Requirements with Check-Back,519 E VINE ST KISSIMMEE FL 34744,28.3050282,-81.3989556
SEDANO'S SUPERMARKET # 0039 REAL E LLC,335046,1100 N JOHN YOUNG PKWY,KISSIMMEE,FL,34741,Supermarket,42962,Met Inspection Requirements,1100 N JOHN YOUNG PKWY KISSIMMEE FL 34741,28.3019756,-81.417527
SAM'S CLUB # 4782,281561,4763 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34746,Supermarket,42962,Met Inspection Requirements,4763 W IRLO BRONSON MEMORIAL HWY KISSIMMEE FL 34746,28.3269396,-81.4678572
PUBLIX # 0758,268643,841 CYPRESS PKWY,POINCIANA,FL,34759,Supermarket,42961,Met Inspection Requirements,841 CYPRESS PKWY POINCIANA FL 34759,28.1483935,-81.451539
UNIDOS SUPERMARKET,332794,2433 PLEASANT HILL RD,KISSIMMEE,FL,34746,Supermarket,42961,Met Inspection Requirements,2433 PLEASANT HILL RD KISSIMMEE FL 34746,28.2300024,-81.4356096
WALMART #5420 (MAIN),299965,3250 VINELAND RD,KISSIMMEE,FL,34746,Supermarket,42958,Met Inspection Requirements,3250 VINELAND RD KISSIMMEE FL 34746,28.3415667,-81.4862579
WINN DIXIE # 2207,286648,3318 CANOE CREEK RD,SAINT CLOUD,FL,34772,Supermarket,42955,Met Inspection Requirements,3318 CANOE CREEK RD SAINT CLOUD FL 34772,28.1994198,-81.294256
THE FRESH MARKET #225,373182,612 CENTERVIEW BLVD,KISSIMMEE,FL,34741,Supermarket,42950,Met Inspection Requirements,612 CENTERVIEW BLVD KISSIMMEE FL 34741,28.3405,-81.4072801
THE MEXICAN MARKET & RESTAURANT INC,347961,2272 W COLUMBIA AVE,KISSIMMEE,FL,34741,Supermarket,42919,Met Inspection Requirements,2272 W COLUMBIA AVE KISSIMMEE FL 34741,28.307861,-81.4278269
PUBLIX # 1045,302838,1951 S NARCOOSSEE RD,SAINT CLOUD,FL,34771,Supermarket,42916,Met Inspection Requirements,1951 S NARCOOSSEE RD SAINT CLOUD FL 34771,28.2476697,-81.2423471
BRAVO SUPERMARKET,310998,4108 W VINE ST,KISSIMMEE,FL,34741,Supermarket,42914,Met Inspection Requirements,4108 W VINE ST KISSIMMEE FL 34741,28.3036965,-81.4460418
PUBLIX # 1431,353611,29 BLAKE BLVD,CELEBRATION,FL,34747,Supermarket,42912,Met Inspection Requirements with Check-Back,29 BLAKE BLVD CELEBRATION FL 34747,28.3311593,-81.526667
WINN DIXIE # 2379,268821,7840 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34747,Supermarket,42900,Met Inspection Requirements,7840 W IRLO BRONSON MEMORIAL HWY KISSIMMEE FL 34747,28.3403181,-81.600865
S MART SUPERMARKET,375285,4030 W VINE ST,KISSIMMEE,FL,34741,Supermarket,42899,Met Inspection Requirements,4030 W VINE ST KISSIMMEE FL 34741,28.3035296,-81.4445802
WALMART #1086 (MAIN),103229,4400 13TH ST,SAINT CLOUD,FL,34769,Supermarket,42873,Met Inspection Requirements,4400 13TH ST SAINT CLOUD FL 34769,28.2554272,-81.3156991
EL AGUILA SUPERMARKET,319698,2090 E OSCEOLA PKWY,KISSIMMEE,FL,34743,Supermarket,42838,*,2090 E OSCEOLA PKWY KISSIMMEE FL 34743,28.3443359,-81.3601199
GOODIES SUPERMARKET,308229,2901 PARKWAY BLVD STE B8,KISSIMMEE,FL,34747,Supermarket,42838,*,2901 PARKWAY BLVD STE B8 KISSIMMEE FL 34747,28.333999,-81.5327138
WALMART #5265,372815,2125 NOLTE RD,ST CLOUD,FL,34772,Supermarket,42824,*,2125 NOLTE RD ST CLOUD FL 34772,28.2227755,-81.2938471
INDIAN WELLS SUPERMARKET,321041,5347 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34746,Supermarket,42821,*,5347 W IRLO BRONSON MEMORIAL HWY KISSIMMEE FL 34746,28.33349,-81.4971701
PUBLIX # 1181,322839,3839 PLEASANT HILL RD,KISSIMMEE,FL,34746,Supermarket,42811,*,3839 PLEASANT HILL RD KISSIMMEE FL 34746,28.1811731,-81.438706
WALMART #4159 (MAIN),363209,2850 E OSCEOLA PKWY,KISSIMMEE,FL,34743,Supermarket,42807,*,2850 E OSCEOLA PKWY KISSIMMEE FL 34743,28.3421312,-81.3264606
TARGET # 1918,294865,4795 W IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34746,Supermarket,42804,*,4795 W IRLO BRONSON MEMORIAL HWY KISSIMMEE FL 34746,28.3320684,-81.4711982
BJ'S WHOLESALE CLUB # 0154,287825,1100 W OSCEOLA PKWY,KISSIMMEE,FL,34741,Supermarket,42803,*,1100 W OSCEOLA PKWY KISSIMMEE FL 34741,28.3394868,-81.4145722
WALMART MARKET #5846 (MAIN),346732,3183 W VINE ST,KISSIMMEE,FL,34741,Supermarket,42802,*,3183 W VINE ST KISSIMMEE FL 34741,28.3065457,-81.4353721
WALMART #2881 (MAIN),270475,1471 E OSCEOLA PKWY,KISSIMMEE,FL,34744,Supermarket,42801,*,1471 E OSCEOLA PKWY KISSIMMEE FL 34744,28.3438537,-81.3859372
WALMART #5250 (MAIN),294107,904 CYPRESS PKWY,POINCIANA,FL,34759,Supermarket,42800,*,904 CYPRESS PKWY POINCIANA FL 34759,28.1425619,-81.4483332
PUBLIX # 1408,351100,2338 E IRLO BRONSON MEMORIAL HWY,KISSIMMEE,FL,34744,Supermarket,42796,*,2338 E IRLO BRONSON MEMORIAL HWY KISSIMMEE FL 34744,28.2794649,-81.3477861
PUBLIX # 0551,101104,14928 E ORANGE LAKE BLVD,KISSIMMEE,FL,34747,Supermarket,42795,*,14928 E ORANGE LAKE BLVD KISSIMMEE FL 34747,28.3491195,-81.6141876
PUBLIX # 1216,324875,3372 CANOE CREEK RD,SAINT CLOUD,FL,34772,Supermarket,42793,*,3372 CANOE CREEK RD SAINT CLOUD FL 34772,28.1964955,-81.2948557
SW DISNEY SUPER TARGET # 2370,328000,3200 ROLLING OAKS BLVD,KISSIMMEE,FL,34747,Supermarket,42788,*,3200 ROLLING OAKS BLVD KISSIMMEE FL 34747,28.3437018,-81.6138418
WALMART #0817 (MAIN),105391,4444 W VINE ST,KISSIMMEE,FL,34746,Supermarket,42772,*,4444 W VINE ST KISSIMMEE FL 34746,28.3017308,-81.4588234
WINN DIXIE # 2238,107821,4855 E IRLO BRONSON MEMORIAL HWY,SAINT CLOUD,FL,34771,Supermarket,42766,*,4855 E IRLO BRONSON MEMORIAL HWY SAINT CLOUD FL 34771,28.247629,-81.245146
PUBLIX # 0707,265376,1910 N JOHN YOUNG PKWY,KISSIMMEE,FL,34741,Supermarket,42760,*,1910 N JOHN YOUNG PKWY KISSIMMEE FL 34741,28.3088747,-81.4180983
PUBLIX # 1179,322534,3343 S ORANGE BLOSSOM TRL,KISSIMMEE,FL,34746,Supermarket,42720,*,3343 S ORANGE BLOSSOM TRL KISSIMMEE FL 34746,28.2619914,-81.4382691
PUBLIX SUPER MARKETS INC # 1502,371812,2625 SIMPSON RD,KISSIMMEE,FL,34744,Supermarket,42705,*,2625 SIMPSON RD KISSIMMEE FL 34744,28.3203175,-81.3372817
WINN DIXIE # 2260,38410,1347 E VINE ST,KISSIMMEE,FL,34744,Supermarket,42691,*,1347 E VINE ST KISSIMMEE FL 34744,28.3055707,-81.389763
PUBLIX # 0235,287559,4401 13TH ST,SAINT CLOUD,FL,34769,Supermarket,42682,*,4401 13TH ST SAINT CLOUD FL 34769,28.2509166,-81.316943
PUBLIX # 1194,324606,3040 DYER BLVD,KISSIMMEE,FL,34741,Supermarket,42675,Pass*,3040 DYER BLVD KISSIMMEE FL 34741,28.3391698,-81.4324694
PUBLIX # 1398,349556,5380 STADIUM PKWY STE 100,ROCKLEDGE,FL,32955,Supermarket,43102,Met Inspection Requirements,5380 STADIUM PKWY STE 100 ROCKLEDGE FL 32955,28.2683113,-80.7388793
MELBOURNE BCH SUPERMARKET,54599,302 OCEAN AVE,MELBOURNE BEACH,FL,32951,Supermarket,43095,Met Inspection Requirements,302 OCEAN AVE MELBOURNE BEACH FL 32951,28.0688598,-80.5591464
DOWNTOWN DISCOUNT PRODUCE,299216,7856 ELLIS RD,MELBOURNE,FL,32904,Supermarket,43087,Met Inspection Requirements,7856 ELLIS RD MELBOURNE FL 32904,28.1003655,-80.6856053
WINN DIXIE # 2329,37629,6257 N HIGHWAY 1,PORT SAINT JOHN,FL,32927,Supermarket,43080,Met Inspection Requirements,6257 N HIGHWAY 1 PORT SAINT JOHN FL 32927,28.4710858,-80.7685863
PUBLIX # 0202,38487,3200 LAKE WASHINGTON RD,MELBOURNE,FL,32934,Supermarket,43075,Met Inspection Requirements,3200 LAKE WASHINGTON RD MELBOURNE FL 32934,28.1475436,-80.6744461
PUBLIX # 0467,68734,7777 N WICKHAM RD,MELBOURNE,FL,32940,Supermarket,43074,Met Inspection Requirements,7777 N WICKHAM RD MELBOURNE FL 32940,28.2294583,-80.6971177
PUBLIX # 0760,271133,2301 STATE ROAD 524,COCOA,FL,32926,Supermarket,43073,Met Inspection Requirements,2301 STATE ROAD 524 COCOA FL 32926,28.3951585,-80.7646803
TARGET # 1934,295254,8455 N WICKHAM RD,VIERA,FL,32940,Supermarket,43070,Met Inspection Requirements,8455 N WICKHAM RD VIERA FL 32940,28.2302234,-80.7201642
PUBLIX # 0499,71738,3830 S HIGHWAY A1A,MELBOURNE BEACH,FL,32951,Supermarket,43067,Met Inspection Requirements,3830 S HIGHWAY A1A MELBOURNE BEACH FL 32951,28.0154753,-80.5344707
WALMART #3538 (MAIN),278941,8500 N WICKHAM RD,VIERA,FL,32940,Supermarket,43066,Met Inspection Requirements,8500 N WICKHAM RD VIERA FL 32940,28.2303213,-80.7225336
WINN DIXIE # 2328,260182,961 E EAU GALLIE BLVD,INDIAN HARBOUR BEACH,FL,32937,Supermarket,43056,Met Inspection Requirements,961 E EAU GALLIE BLVD INDIAN HARBOUR BEACH FL 32937,28.1378022,-80.5844414
WINN DIXIE # 2327,14214,1535 N SINGLETON AVE,TITUSVILLE,FL,32796,Supermarket,43056,Met Inspection Requirements,1535 N SINGLETON AVE TITUSVILLE FL 32796,28.6380695,-80.8448846
WINN DIXIE # 2326,14215,1564 HARRISON ST,TITUSVILLE,FL,32780,Supermarket,43048,Met Inspection Requirements,1564 HARRISON ST TITUSVILLE FL 32780,28.5867559,-80.8207914
WALMART MARKET #5365 (MAIN),297513,3950 N WICKHAM RD,MELBOURNE,FL,32935,Supermarket,43040,Met Inspection Requirements,3950 N WICKHAM RD MELBOURNE FL 32935,28.1712899,-80.6739202
WINN DIXIE # 2333,254701,5270 BABCOCK ST NE UNIT 29&30,PALM BAY,FL,32905,Supermarket,43025,Met Inspection Requirements,5270 BABCOCK ST NE UNIT 29&30 PALM BAY FL 32905,28.0174719,-80.6238893
WALMART #5455 (MAIN),301870,1040 MALABAR RD SE,PALM BAY,FL,32907,Supermarket,42976,Met Inspection Requirements,1040 MALABAR RD SE PALM BAY FL 32907,27.9986777,-80.641774
PUBLIX # 1421,366196,2000 CHENEY HWY,TITUSVILLE,FL,32780,Supermarket,42962,Met Inspection Requirements,2000 CHENEY HWY TITUSVILLE FL 32780,28.5592558,-80.8255818
HARVEYS #1714,10274,1066 CLEARLAKE RD,COCOA,FL,32922,Supermarket,42954,Met Inspection Requirements,1066 CLEARLAKE RD COCOA FL 32922,28.3720713,-80.7535041
SAM'S CLUB # 8141,52783,4255 W NEW HAVEN AVE,MELBOURNE,FL,32904,Supermarket,42950,Met Inspection Requirements,4255 W NEW HAVEN AVE MELBOURNE FL 32904,28.0769684,-80.6961238
WINN DIXIE#2325,379298,100 CANAVERAL PLAZA BLVD,COCOA BEACH,FL,32931,Supermarket,42934,Met Inspection Requirements,100 CANAVERAL PLAZA BLVD COCOA BEACH FL 32931,28.3559936,-80.6100461
PUBLIX # 1358,344086,3275 GARDEN ST,TITUSVILLE,FL,32796,Supermarket,42928,Met Inspection Requirements,3275 GARDEN ST TITUSVILLE FL 32796,28.6173746,-80.8432294
WALMART #649,72544,3175 CHENEY HWY,TITUSVILLE,FL,32780,Supermarket,42921,Met Inspection Requirements,3175 CHENEY HWY TITUSVILLE FL 32780,28.5553154,-80.8427245
PUBLIX # 0264,10499,1880 US HIGHWAY 1,ROCKLEDGE,FL,32955,Supermarket,42914,Met Inspection Requirements,1880 US HIGHWAY 1 ROCKLEDGE FL 32955,28.3284678,-80.7192652
PUBLIX # 0424,61270,1150 MALABAR RD SE,PALM BAY,FL,32907,Supermarket,42909,Met Inspection Requirements,1150 MALABAR RD SE PALM BAY FL 32907,27.9974999,-80.63647
PUBLIX # 0523,73957,7325 N HIGHWAY 1,COCOA,FL,32927,Supermarket,42907,Met Inspection Requirements,7325 N HIGHWAY 1 COCOA FL 32927,28.4878084,-80.7743935
WALMART MARKET # 2944 (MAIN),381213,955 S WOODLAND BLVD,DELAND,FL,32724,Supermarket,43103,Met Inspection Requirements,955 S WOODLAND BLVD DELAND FL 32724,29.0117108,-81.3026401
WALMART MARKET #3862 (MAIN),308677,1905 N NOVA RD,HOLLY HILL,FL,32117,Supermarket,43096,Met Inspection Requirements,1905 N NOVA RD HOLLY HILL FL 32117,29.2489005,-81.0672544
PUBLIX # 0229,280715,709 E 3RD AVE,NEW SMYRNA BEACH,FL,32169,Supermarket,43089,Met Inspection Requirements,709 E 3RD AVE NEW SMYRNA BEACH FL 32169,29.0267982,-80.8945934
WALMART #6398,369253,1569 SAXON BLVD,DELTONA,FL,32725,Supermarket,43083,Met Inspection Requirements,1569 SAXON BLVD DELTONA FL 32725,28.9068602,-81.2452134
SAVE-A-LOT #45082,372476,720 S DIXIE FREEWAY,NEW SMYRNA BEACH,FL,32168,Supermarket,43060,Met Inspection Requirements,720 S DIXIE FREEWAY NEW SMYRNA BEACH FL 32168,29.0156987,-80.922931
WINN DIXIE # 2313,253895,2880 HOWLAND BLVD,DELTONA,FL,32725,Supermarket,43042,Met Inspection Requirements,2880 HOWLAND BLVD DELTONA FL 32725,28.9449845,-81.2246049
WALMART # 3606,375907,185 NORTH CHARLES RICHARD BEALL BOULEVARD,DEBARY,FL,32713,Supermarket,43025,Met Inspection Requirements,185 NORTH CHARLES RICHARD BEALL BOULEVARD DEBARY FL 32713,28.8987469,-81.3051416
ALDI # 112,379969,1106 BEVILLE RD,DAYTONA BEACH,FL,32114,Supermarket,43004,Met Inspection Requirements,1106 BEVILLE RD DAYTONA BEACH FL 32114,29.1759041,-81.0308788
ALDI #50,374325,2335 STATE ROAD 44,NEW SMYRNA BEACH,FL,32168,Supermarket,42972,Met Inspection Requirements,2335 STATE ROAD 44 NEW SMYRNA BEACH FL 32168,29.0141968,-80.9631983
SAM'S CLUB # 8138,53661,1175 BEVILLE RD,DAYTONA BEACH,FL,32119,Supermarket,42955,Met Inspection Requirements,1175 BEVILLE RD DAYTONA BEACH FL 32119,29.1716151,-81.0322112
WALMART #563 (MAIN),267862,2400 VETERANS MEMORIAL PKWY,ORANGE CITY,FL,32763,Supermarket,42954,Met Inspection Requirements,2400 VETERANS MEMORIAL PKWY ORANGE CITY FL 32763,28.9136522,-81.278917
WALMART #1079 (MAIN),347295,3155 STATE ROAD 44,NEW SMYRNA BEACH,FL,32168,Supermarket,42935,Met Inspection Requirements,3155 STATE ROAD 44 NEW SMYRNA BEACH FL 32168,29.0124173,-81.01015
PUBLIX # 0827,276145,1850 RIDGEWOOD AVE,HOLLY HILL,FL,32117,Supermarket,42893,Met Inspection Requirements,1850 RIDGEWOOD AVE HOLLY HILL FL 32117,29.2618586,-81.0519991
WINN DIXIE # 2341,255295,2701 S WOODLAND BLVD,DELAND,FL,32720,Supermarket,42888,Met Inspection Requirements,2701 S WOODLAND BLVD DELAND FL 32720,28.9812304,-81.2971049
PUBLIX # 0335,38922,1930 STATE ROAD 44,NEW SMYRNA BEACH,FL,32168,Supermarket,42871,Met Inspection Requirements,1930 STATE ROAD 44 NEW SMYRNA BEACH FL 32168,29.0119521,-80.9455386
WINN DIXIE # 2304,102755,1835 STATE ROAD 44,NEW SMYRNA BEACH,FL,32168,Supermarket,42866,Met Inspection Requirements,1835 STATE ROAD 44 NEW SMYRNA BEACH FL 32168,29.0161545,-80.9438659
WINN DIXIE # 2237,38128,2 N CHARLES RICHARD BEALL BLVD,DEBARY,FL,32713,Supermarket,42864,Met Inspection Requirements,2 N CHARLES RICHARD BEALL BLVD DEBARY FL 32713,28.8907572,-81.3078491
PUBLIX # 0768,267850,2400 S RIDGEWOOD AVE,SOUTH DAYTONA,FL,32119,Supermarket,42838,*,2400 S RIDGEWOOD AVE SOUTH DAYTONA FL 32119,29.164911,-81.0012711
WALMART #860 (MAIN),287618,1699 N WOODLAND BLVD,DELAND,FL,32720,Supermarket,42831,*,1699 N WOODLAND BLVD DELAND FL 32720,29.0618488,-81.3017379
PUBLIX # 1444,10834,299 E INTERNATIONAL SPEEDWAY BLVD,DELAND,FL,32724,Supermarket,42793,*,299 E INTERNATIONAL SPEEDWAY BLVD DELAND FL 32724,29.0564287,-81.3010461
WINN DIXIE # 2342,30235,3120 N WOODLAND BLVD,DELAND,FL,32720,Supermarket,42782,*,3120 N WOODLAND BLVD DELAND FL 32720,29.0844948,-81.3230255
BRAVO SUPERMARKET #045131,372874,1509 S NOVA RD,DAYTONA BEACH,FL,32114,Supermarket,42780,*,1509 S NOVA RD DAYTONA BEACH FL 32114,29.1770535,-81.0268808
PUBLIX # 1259,325628,3821 S NOVA RD,PORT ORANGE,FL,32127,Supermarket,42774,*,3821 S NOVA RD PORT ORANGE FL 32127,29.1268813,-81.0023442
PUBLIX # 0429,61806,2970 S RIDGEWOOD AVE,EDGEWATER,FL,32141,Supermarket,42773,*,2970 S RIDGEWOOD AVE EDGEWATER FL 32141,28.9486779,-80.8857086
PUBLIX # 0422,4775,2556 ENTERPRISE RD,ORANGE CITY,FL,32763,Supermarket,42769,*,2556 ENTERPRISE RD ORANGE CITY FL 32763,28.9150232,-81.2966568
PUBLIX # 0814,273688,2595 N ATLANTIC AVE,DAYTONA BEACH,FL,32118,Supermarket,42759,*,2595 N ATLANTIC AVE DAYTONA BEACH FL 32118,29.2623615,-81.0285463
BJ'S WHOLESALE CLUB # 0361,358062,1800 DUNLAWTON AVE,PORT ORANGE,FL,32127,Supermarket,42754,*,1800 DUNLAWTON AVE PORT ORANGE FL 32127,29.1074841,-81.0242695
WINN DIXIE # 2343,35679,1050 W NEW YORK AVE,DELAND,FL,32720,Supermarket,42752,*,1050 W NEW YORK AVE DELAND FL 32720,29.0266554,-81.323652
WALMART #3310 (MAIN),312301,101 HOWLAND BLVD,DELTONA,FL,32738,Supermarket,42752,*,101 HOWLAND BLVD DELTONA FL 32738,28.8697909,-81.1641362
PUBLIX # 1450,358833,1660 TAYLOR RD,PORT ORANGE,FL,32128,Supermarket,42740,*,1660 TAYLOR RD PORT ORANGE FL 32128,29.1060625,-81.0339797
PUBLIX # 1290,335879,1258 OCEAN SHORE BLVD,ORMOND BEACH,FL,32176,Supermarket,42738,*,1258 OCEAN SHORE BLVD ORMOND BEACH FL 32176,29.323651,-81.0571994
DOLLAR GENERAL MARKET # 14232,353667,4190 S ATLANTIC AVE,NEW SMYRNA BEACH,FL,32169,Supermarket,42727,*,4190 S ATLANTIC AVE NEW SMYRNA BEACH FL 32169,29.0015368,-80.8764575
PUBLIX # 0660,258268,3750 ROSCOMMON DR,ORMOND BEACH,FL,32174,Supermarket,42719,*,3750 ROSCOMMON DR ORMOND BEACH FL 32174,29.4012502,-81.1480816
WALMART #613,72867,1521 W GRANADA BLVD,ORMOND BEACH,FL,32174,Supermarket,42710,*,1521 W GRANADA BLVD ORMOND BEACH FL 32174,29.2587153,-81.1149615
WALMART #582 (MAIN),256448,1590 DUNLAWTON AVE,PORT ORANGE,FL,32127,Supermarket,42710,*,1590 DUNLAWTON AVE PORT ORANGE FL 32127,29.1169153,-81.0194499
PUBLIX # 1330,325569,2100 SAXON BLVD,DELTONA,FL,32725,Supermarket,42709,*,2100 SAXON BLVD DELTONA FL 32725,28.9094398,-81.2662684
PUBLIX # 1187,321147,2783 ELKCAM BLVD,DELTONA,FL,32738,Supermarket,42706,*,2783 ELKCAM BLVD DELTONA FL 32738,28.9269685,-81.187791
PUBLIX # 0304,37042,1500 BEVILLE RD STE 300,DAYTONA BEACH,FL,32114,Supermarket,42682,*,1500 BEVILLE RD STE 300 DAYTONA BEACH FL 32114,29.1715234,-81.0413646
WINN DIXIE # 2249,33710,1229 PROVIDENCE BLVD STE A,DELTONA,FL,32725,Supermarket,42678,Pass*,1229 PROVIDENCE BLVD STE A DELTONA FL 32725,28.8815589,-81.2409855
TARGET # 1795,285015,1771 DUNLAWTON AVE,PORT ORANGE,FL,32127,Supermarket,42670,Pass*,1771 DUNLAWTON AVE PORT ORANGE FL 32127,29.1102209,-81.0287449
PUBLIX # 1500,370742,2431 S WOODLAND BLVD,DELAND,FL,32720,Supermarket,42661,Pass*,2431 S WOODLAND BLVD DELAND FL 32720,28.9858576,-81.2992615
WINN DIXIE # 2311,32191,4025 S NOVA RD,PORT ORANGE,FL,32127,Supermarket,42661,Pass*,4025 S NOVA RD PORT ORANGE FL 32127,29.1187134,-80.9943139
