GEO_ID,B01003_001E,B01003_001M,B11016_001E,B11016_001M,B19025_001E,B19025_001M,NAME,GEO_ID,state,county,tract
12095014810,5814,350,1950,84,216601400,29560138,"Census Tract 148.10, Orange County, Florida",1400000US12095014810,12,095,014810
12095014811,5209,506,2032,118,277442800,48424079,"Census Tract 148.11, Orange County, Florida",1400000US12095014811,12,095,014811
12095015003,6938,619,2171,112,123299200,12722216,"Census Tract 150.03, Orange County, Florida",1400000US12095015003,12,095,015003
12095015105,3932,482,1279,80,71521100,9007412,"Census Tract 151.05, Orange County, Florida",1400000US12095015105,12,095,015105
12095016100,4119,335,1975,168,250826100,46056064,"Census Tract 161, Orange County, Florida",1400000US12095016100,12,095,016100
12095016200,6440,445,2799,195,253991000,55089043,"Census Tract 162, Orange County, Florida",1400000US12095016200,12,095,016200
12095016410,8419,867,2897,194,173828300,23255984,"Census Tract 164.10, Orange County, Florida",1400000US12095016410,12,095,016410
12095016704,21615,2068,7309,534,700626600,84730812,"Census Tract 167.04, Orange County, Florida",1400000US12095016704,12,095,016704
12095016712,8364,768,3398,234,162046400,24010510,"Census Tract 167.12, Orange County, Florida",1400000US12095016712,12,095,016712
12095017103,20686,1553,7415,358,622918400,48029507,"Census Tract 171.03, Orange County, Florida",1400000US12095017103,12,095,017103
12095017702,2185,187,780,63,69490200,9398481,"Census Tract 177.02, Orange County, Florida",1400000US12095017702,12,095,017702
12095017902,6331,820,2630,193,185100700,26983305,"Census Tract 179.02, Orange County, Florida",1400000US12095017902,12,095,017902
12095010500,1286,215,563,62,12968700,2641289,"Census Tract 105, Orange County, Florida",1400000US12095010500,12,095,010500
12095017804,9942,808,3315,221,298544200,34939153,"Census Tract 178.04, Orange County, Florida",1400000US12095017804,12,095,017804
12095017104,28818,1740,8632,398,1136645500,172877377,"Census Tract 171.04, Orange County, Florida",1400000US12095017104,12,095,017104
12095017107,7462,621,2766,212,455337500,96804414,"Census Tract 171.07, Orange County, Florida",1400000US12095017107,12,095,017107
12095017300,10712,888,4111,271,211957100,24560661,"Census Tract 173, Orange County, Florida",1400000US12095017300,12,095,017300
12095017805,3082,294,1106,82,78422300,9258348,"Census Tract 178.05, Orange County, Florida",1400000US12095017805,12,095,017805
12095017808,3545,268,1394,99,124972600,15472222,"Census Tract 178.08, Orange County, Florida",1400000US12095017808,12,095,017808
12095017011,5636,510,1729,121,108923500,12991274,"Census Tract 170.11, Orange County, Florida",1400000US12095017011,12,095,017011
12095016902,5343,533,1634,98,71397800,12386295,"Census Tract 169.02, Orange County, Florida",1400000US12095016902,12,095,016902
12095017004,5267,605,2227,219,120136000,15703035,"Census Tract 170.04, Orange County, Florida",1400000US12095017004,12,095,017004
12095017802,15917,1480,5694,386,512448900,84010651,"Census Tract 178.02, Orange County, Florida",1400000US12095017802,12,095,017802
12095016002,2606,207,1030,80,282999800,59373641,"Census Tract 160.02, Orange County, Florida",1400000US12095016002,12,095,016002
12095014400,3540,457,1236,130,92741700,20080734,"Census Tract 144, Orange County, Florida",1400000US12095014400,12,095,014400
12095011200,3339,200,1440,69,127757200,14461410,"Census Tract 112, Orange County, Florida",1400000US12095011200,12,095,011200
12095014806,4429,372,1603,64,151144300,18093673,"Census Tract 148.06, Orange County, Florida",1400000US12095014806,12,095,014806
